Branch Name,Location
A.S FURTUNA,"Unit 3 TP Bldg. A.S. Fortuna St. Banilad, Cebu City"
B. RODRIGUEZ (Main),"15 B. Rodriguez St., Capitol Site, Cebu City"
CAPITOL,"Osmeña Blvd., Cebu City"
MABOLO,"Pope John Paul II Avenue, Mabolo, Cebu City"
BULACAO - PARDO,"Bulacao, Pardo, Cebu City"
BASAK - PARDO,"Basak, Pardo, Cebu City"
P.DEL ROSARIO,"P. Del Rosario St., Cebu City"
"PUNTA, LABANGON","F. Llamas St., Cebu City"
TALAMBAN,"Talamban, Cebu City"
A.C CORTES,Mandaue City
CANDUMAN,Mandaue City
TIPOLO,Mandaue City
BASAK - LAPU-LAPU,Lapu-Lapu City
CORDOVA,"Cordova, Cebu"
"PUSOK, LAPU-LAPU CITY",Lapu-Lapu City
"POBLACION, LAPU-LAPU CITY",Lapu-Lapu City
"SOONG, MACTAN",Lapu-Lapu City
"DUMLOG, TALISAY",Talisay City
LARAY TALISAY CITY,Talisay City
TALISAY-TABUNOK,Talisay City
ARGAO,Cebu
BANTAYAN,Cebu
BALAMBAN,Cebu
BARILI,Cebu
BOGO CITY,Cebu
CARCAR CITY,Cebu
CARMEN,Cebu
CONSOLACION,Cebu
DAANBANTAYAN,Cebu
DANAO CITY,Cebu
LILOAN,Cebu
LUTOPAN,Toledo City
MINGLANILLA,Cebu
NAGA,Cebu
SAN REMIGIO,Cebu
SIBONGA,Cebu
TOLEDO CITY,Cebu
ANTIQUE,Antique
BALASAN,Iloilo
BAROTAC NUEVO,Iloilo
BORACAY,Aklan
GEN. LUNA,Iloilo City
JARO,Iloilo City
KALIBO,Aklan
MOLO,Iloilo City
POTOTAN,Iloilo
ROXAS CITY,Capiz
SARA,Iloilo
TAFT NORTH,Iloilo City
TAGBAK,Iloilo City
BACOLOD CITY,Negros Occidental
CERVANTES,Dumaguete City
DUMAGUETE (DARO),Dumaguete City
BAYAWAN,Negros Oriental
SAN CARLOS CITY,Negros Occidental
SIQUIJOR,Siquijor
BOLTON,Davao City
BAJADA,Davao City
DIGOS CITY,Davao del Sur
KAWAYAN,Davao City
MATI,Davao Oriental
MATINA,Davao City
PANABO,Davao del Norte
STA. CRUZ,Davao del Sur
TAGUM CITY,Davao del Norte
CALUMPANG,General Santos
LAGAO 1,General Santos
LAGAO 2,General Santos
KIDAPAWAN,Cotabato
KORONADAL,South Cotabato
MALAKAS,General Santos
CARMEN - CDO,Cagayan de Oro
DIVISORIA,Cagayan de Oro
EL SALVADOR,Misamis Oriental
GINGOOG,Misamis Oriental
TIBANGA,Iligan City
OZAMIZ,Misamis Occidental
TUBOD,Iligan City
TAGOLOAN,Misamis Oriental
VALENCIA,Bukidnon
MALAYBALAY,Bukidnon
DAPITAN,Zamboanga del Norte
DIPOLOG,Zamboanga del Norte
PAGADIAN,Zamboanga del Sur
SINDANGAN,Zamboanga del Norte
BUTUAN 1,Butuan City
BUTUAN 2,Butuan City
SURIGAO,Surigao City
BAYBAY,Leyte
CARIGARA,Leyte
HILONGOS,Leyte
MAASIN,Southern Leyte
SOGOD,Southern Leyte
NAVAL,Biliran
ORMOC,Leyte
PALO,Leyte
TACLOBAN 1,Leyte
TACLOBAN 2,Leyte
BORONGAN,Eastern Samar
CALBAYOG,Samar
CATBALOGAN,Samar
TAGBILARAN 1,Bohol
TAGBILARAN 2,Bohol
TUBIGON,Bohol
VISAYAS AVENUE,Quezon City
